,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
9586,What Becomes of the Broken Hearted?,Ian Mune,3.18,['Drama'],108.0,English,"Five years have passed and Jake has turned his back on his family. He's still up to his usual tricks in McClutchy's Bar, unaware, as he downs his latest opponent, that his eldest son, Nig, has died in a gang fight. The uncomfortable family reunion at Nig's funeral sparks a confrontation with second son, Sonny, and sets Jake and Sonny on a downward spiral.","['New Zealand Film Commission', 'PolyGram Filmed Entertainment', 'South Pacific Pictures']",1433,571,152,1,23,311,14,866
9587,Flying Fox in a Freedom Tree,Martyn Sanderson,3.2685351873474158,['Drama'],92.0,English,"Pepe is the son of a successful Samoan businessman, who rejects his father's world and his Christianity. Although he becomes rebellious, anti-social and engages in criminal activity, as well as being expelled from school, he manages to establish himself in business. However, when he gets his girlfriend pregnant, he takes on the responsibilities of a family. Through his close association with half-cast dwarf, Tagata, he enters the supernatural realm of his traditional ways and begins to find some peace and meaning to his life.","['New Zealand Film Commission', 'Grahame McLean Associates']",21,150,5,0,1,4,0,10
9588,Once Were Warriors,Lee Tamahori,3.96,['Drama'],99.0,English,"A drama about a Maori family living in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.","['Avalon Studios', 'New Zealand Film Commission', 'NZ on Air', 'Fish Entertainment']",26589,10033,6842,325,76,1666,3083,18196
9589,River Queen,Vincent Ward,3.16,"['War', 'Adventure']",114.0,English,An intimate story set during the 1860s in which a young Irish woman Sarah and her family find themselves on both sides of the turbulent wars between British and Maori during the British colonization of New Zealand.,"['Silverscreen Films', 'Film Consortium', 'Endgame Entertainment', 'New Zealand Film Production Fund', 'New Zealand Film Commission', 'UK Film Council', 'Capitol Films', 'Wayward Films', 'Australian Film Commission']",741,535,58,0,15,134,8,418
9590,Runaway,John O'Shea,3.2685351873474158,"['Drama', 'Thriller']",102.0,English,"A nightmare chase across the scenic splendor of a wild continent. David Manning, a young accountant, is unable to live within his income. He spends his spare time in Auckland with the young set - and his friends Sandra, Dorothy and Athol all like the outdoor life in the daytime and the bright lights at night. David finds himself in financial difficulties and leaves his job.",['Pacific Films'],65,204,10,0,5,15,1,46
9591,"The Frog, the Dog, and the Devil",Bob Stenhouse,3.2685351873474158,"['Animation', 'Western']",8.0,English,"The short tells the story of a drunkard going through alcohol withdrawal, as personified by the Devil. Director Bob Stenhouse takes what could be a dark subject and makes it a funny madcap romp.",['New Zealand National Film Unit'],282,749,48,1,4,46,2,171
9592,Crush,Alison Maclean,3.34,"['Drama', 'Thriller']",92.0,English,"On the way to interview a novelist, Lane and Christina are involved in a car crash which leaves literary critic Christina brain-damaged. Lane undertakes the assignment and becomes attracted to the novelist's 15 year old daughter, leading to stormy emotions.","['Hibiscus Films', 'New Zealand Film Commission', 'NZ on Air', 'Avalon/NFU Studios', 'Movie Partners']",703,1087,127,2,4,109,16,417
9593,Hibiscus & Ruthless,Stallone Vaiaoga-Ioasa,3.2685351873474158,Unknown,97.0,English,"Hibiscus (Suivai Pilisipi Autagavaia, from short film Manurewa) and the take no nonsense Ruth (Anna-Maree Thomas) have been friends since school. But now Hibiscus is in her final year of university, and her domineering mother doesn't want any boyfriends getting in the way; so Hibiscus enlists Ruth's help, to handle the temptations of a line of potential suitors.",['m2s1 films'],177,170,47,0,5,36,8,124
9594,Mr. Wrong,Gaylene Preston,3.23,"['Horror', 'Drama']",88.0,English,"A small town woman, fresh to the city, buys a used Jaguar haunted by the ghost of a woman who was slain in it.","['Barclays New Zealand', 'Preston-Laing Productions', 'New Zealand Film Commission']",428,810,68,1,4,83,5,305
9595,Never Say Die,Geoff Murphy,3.2685351873474158,"['Comedy', 'Action']",103.0,English,"Investigative journalist Alf Winters (Morrison), meets his American girlfriend, Melissa Jones (Eilbacher), at Auckland airport. As they park outside Alf's house, it explodes. It is soon apparent that persons unknown want them dead, but the police are either skeptical or in the pay of those responsible. They play hide and seek around New Zealand with the stalkers, all the while coping with car chases, plane crashes, bullets and explosions.","['Everard Films', 'New Zealand Film Commission', 'Pastrami and Rye']",165,250,26,0,0,30,8,104
9596,Snakeskin,Gillian Ashurst,3.2685351873474158,"['Drama', 'Adventure', 'Comedy', 'Fantasy', 'Action', 'Thriller']",94.0,English,"A hitchhiker takes two kids on the ride of their dreams, but they soon learn that their newfound hero is just as capable of delivering nightmares.","['CowGirl Productions', 'New Zealand Film Commission']",329,376,42,0,8,52,5,181
9597,It's Kind of a Funny Story,"Anna Boden, Ryan Fleck",3.3,"['Comedy', 'Drama']",102.0,English,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,"['Focus Features', 'Wayfare Entertainment', 'Misher Films', 'Journeyman Pictures', 'Gowanus Projections', 'Start Media']",199947,21626,33386,621,1558,28670,7049,103827
9598,Vagabond,Agnès Varda,4.1,['Drama'],105.0,French,"Mona Bergeron is dead, her frozen body found in a ditch in the French countryside. From this, the film flashes back to the weeks leading up to her death. Through these flashbacks, Mona gradually declines as she travels from place to place, taking odd jobs and staying with whomever will offer her a place to sleep. Mona is fiercely independent, craving freedom over comfort, but it is this desire to be free that will eventually lead to her demise.","['Ministère de la culture', 'Films A2', 'Ciné-Tamaris', 'centre mediterraneen de creation cinematographique']",93039,48687,31586,1800,220,5596,11176,64088
9599,Little Women,Greta Gerwig,4.17,"['Romance', 'History', 'Drama']",135.0,English,Four sisters come of age in America in the aftermath of the Civil War.,"['Columbia Pictures', 'Regency Enterprises', 'Pascal Pictures']",2785956,465877,1259746,159000,7422,176711,765935,2014659
9600,Taipei Suicide Story,KEFF,3.88,['Drama'],45.0,Chinese,A receptionist at a suicide hotel in Taipei forms a fleeting friendship over the course of one night with a guest who can’t decide if she wants to live or die.,['MA Studios'],13758,4232,4775,127,42,1177,1193,9799
9601,Mistress America,Noah Baumbach,3.69,['Comedy'],84.0,English,"Tracy, a lonely college freshman in New York, is rescued from her solitude by her soon-to-be stepsister Brooke, an adventurous gal about town who entangles her in alluringly mad schemes.",['RT Features'],100339,29401,28292,453,505,11991,5256,69649
9602,"tick, tick... BOOM!",Lin-Manuel Miranda,3.84,"['Drama', 'Music']",115.0,English,"On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out.","['Imagine Entertainment', '5000 Broadway Productions']",965697,147528,333553,13000,5469,89251,129701,714508
9603,Cha Cha Real Smooth,Cooper Raiff,3.82,"['Drama', 'Romance', 'Comedy']",108.0,English,"Fresh out of college and stuck at his New Jersey home without a clear path forward, 22-year-old Andrew begins working as a party starter for bar/bat mitzvahs—where he strikes up a unique friendship with a young mom and her teenage daughter.","['Picturestart', 'TeaTime Pictures', 'Endeavor Content']",190048,58252,68452,1900,1235,19369,19852,154975
9604,Under the Silver Lake,David Robert Mitchell,3.47,"['Drama', 'Mystery', 'Crime']",139.0,English,"Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.","['Michael De Luca Productions', 'Good Fear', 'PASTEL', 'UnLTD Productions', 'Salem Street Entertainment', 'Boo Pictures']",292357,83197,79298,3000,4881,39878,16882,223418
9605,Plan B,Natalie Morales,3.5,['Comedy'],107.0,English,"After a regrettable first sexual encounter, a straight-laced high school student and her slacker best friend have 24 hours to hunt down a Plan B pill in America's heartland.","['American High', 'Counterbalance Entertainment', 'LD Entertainment']",40067,12728,11335,62,222,6219,2239,30303
9606,Normal People,"Lenny Abrahamson, Hettie Macdonald",4.41,['Drama'],342.0,English,"Marianne and Connell weave in and out of each other's lives in this exploration of sex, power and the desire to love and be loved.","['Element Pictures', 'Fís Éireann/Screen Ireland']",594193,75423,264379,16000,1817,19029,214154,431885
9607,Café de Flore,Jean-Marc Vallée,3.72,"['Drama', 'Romance']",121.0,French,"Jacqueline is a young mother living in 1960s Paris with her disabled son Laurent. Abandoned by her husband, Jacqueline sacrifices everything to care for her son and vows to give Laurent a “normal” life full of happiness. Antoine, is a successful DJ in present day Montreal who seems to have it all: a thriving career, two beautiful daughters, partner Rose, with whom he is passionately in love. However, nothing is perfect and Antoine’s ex-wife Carole remains devastated by their recent separation.","['Monkey Pack Films', 'Item 7', 'Crazy Films']",12009,3146,3123,326,71,1120,1244,7509
9608,C'mon C'mon,Mike Mills,4.13,['Drama'],109.0,English,Johnny and his young nephew forge a tenuous but transformational relationship when they embark on a cross-country trip to see life away from Los Angeles.,"['A24', 'Be Funny When You Can']",229498,82064,91570,4200,666,15875,40051,183061
9609,Millennium Mambo,Hou Hsiao-hsien,3.85,"['Drama', 'Romance']",106.0,Chinese,Vicky recalls her romances with her exes Hao Hao and Jack in the neon-lit clubs of Taipei.,"['Paradis Films', 'Orly Films', 'Sino Movie']",72489,30189,25251,1500,343,7382,6940,51645
9610,My Blueberry Nights,Wong Kar-wai,3.22,"['Drama', 'Romance']",95.0,English,"Elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. In order to support herself on her journey, Elizabeth picks up a series of waitress jobs along the way. As Elizabeth crosses paths with a series of lost souls whose yearnings are even greater than her own, their emotional turmoil ultimately helps her gain a greater understanding of her own problems...","['Block 2 Pictures', 'StudioCanal', 'Shanghai Film Group', 'Jet Tone Production']",70952,14590,13550,274,716,12922,2596,45541
9611,Wheel of Fortune and Fantasy,Ryūsuke Hamaguchi,4.07,"['Romance', 'Drama']",121.0,Japanese,"An unexpected love triangle, a seduction trap, and a random encounter are the three episodes, told in three movements to depict three female characters and trace the trajectories between their choices and regrets.","['Neopa', 'Fictive']",65967,26063,23891,420,120,4290,5680,49882
9612,Eugenie,Jesús Franco,3.14,"['Drama', 'Horror']",87.0,German,"A young woman is lured to an island paradise, where she is drawn into a dark world of pleasure, pain, and murder under the control of a sinister figure.","['Video-Tel International Productions', 'Hape Film', 'Balcázar']",3070,3502,639,4,42,483,70,1999
9613,The Glenn Miller Story,Anthony Mann,3.5,"['Drama', 'Music', 'Romance']",116.0,English,"A vibrant tribute to one of America's legendary bandleaders, charting Glenn Miller's rise from obscurity and poverty to fame and wealth in the early 1940s.",['Universal Pictures'],7993,4806,1697,17,24,1308,319,4784
